ts,imei,mwra,c.android.youtube,c.katana,c.dogalize,c.android.chrome,c.android.gm,c.raider,c.UCMobile.x86,c.android.vending,c.updateassist,c.UCMobile.intl
2018-05-05 10:00:00,8630330696303481974,1.00000,13.58210,15.33491,10.87033,10.35721,13.80827,46.72563,35.34450,47.21035,28.49963,4.08545
2018-05-05 10:01:00,3590433799317661792,0.00000,9.67945,14.45052,14.31833,17.04997,15.36899,30.53505,39.13710,39.59875,79.28928,87.87188
2018-05-05 10:02:00,863033069630348867,1.00000,11.78812,13.18781,10.37927,10.17132,8.82116,43.90422,60.31724,9.81867,30.95702,46.93047
2018-05-05 10:03:00,863033069630348297,1.00000,13.52834,14.28303,7.22483,5.98026,12.44312,40.19061,56.36217,96.59275,67.69596,10.06094
2018-05-05 10:04:00,359043379931766619,1.00000,12.23731,17.09059,7.99265,7.78994,6.88534,54.38177,70.23830,8.39724,80.25278,33.96321
2018-05-05 10:05:00,359043379931766668,1.00000,13.49045,11.46424,11.99072,9.83958,9.07949,49.94593,52.56234,31.84859,32.99925,24.18812
2018-05-05 10:06:00,3590433799317661222,0.00000,7.54830,11.69374,8.38115,10.32642,13.39616,49.48762,33.24740,1.69896,14.71687,97.79181
2018-05-05 10:07:00,863033069630348123,0.00000,7.19148,14.58269,12.22776,12.66985,13.55034,58.92870,61.14584,56.70715,56.27561,48.73370
2018-05-05 10:08:00,359043379931766247,1.00000,10.91536,14.35505,9.06741,11.65270,9.08501,58.38555,54.75008,54.68384,54.18099,20.76607
2018-05-05 10:09:00,3590433799317662162,0.00000,10.77643,10.92590,12.55058,8.23443,10.41176,60.53551,50.96846,86.22067,58.99569,46.89236
2018-05-05 10:10:00,3590433799317661008,1.00000,11.44188,12.97153,9.27648,10.45772,11.81610,61.77263,46.35241,2.54110,58.46562,41.30985
2018-05-05 10:11:00,8630330696303482295,0.00000,10.10800,11.11960,17.08090,15.36187,13.26059,58.56051,61.66932,51.14647,75.72099,43.35434
2018-05-05 10:12:00,359043379931766320,1.00000,12.36953,11.62717,7.89665,9.52528,10.92728,38.21609,14.99522,54.54819,42.44981,40.49014
2018-05-05 10:13:00,8630330696303481073,1.00000,13.32404,11.32599,15.80366,12.21080,13.47276,61.39429,62.95919,64.52136,47.29463,9.77369
2018-05-05 10:14:00,359043379931766262,0.00000,10.51639,12.63697,7.78858,11.21281,12.44756,38.19466,31.03556,15.59829,66.95187,9.60812
2018-05-05 10:15:00,3590433799317661115,1.00000,13.62681,15.72794,10.22696,8.83464,9.21274,58.40835,55.31218,87.51073,30.66659,40.54664
2018-05-05 10:16:00,359043379931766957,0.00000,11.03039,13.13029,9.85308,12.57794,12.49143,63.13596,40.75686,76.67256,15.75692,59.29592
2018-05-05 10:17:00,8630330696303481941,0.00000,8.81771,12.77324,7.37692,6.85213,10.80936,38.11573,53.68865,88.94595,15.65132,34.40800
2018-05-05 10:18:00,359043379931766452,1.00000,9.09756,14.01955,10.57556,11.91929,14.20963,46.48385,47.47407,37.52629,29.72538,1.58076
2018-05-05 10:19:00,8630330696303481743,1.00000,9.44903,13.66971,6.34899,8.93681,12.54824,39.51044,40.98363,55.35218,4.15820,80.69650
2018-05-05 10:20:00,359043379931766759,1.00000,9.44916,11.44685,13.26969,9.94549,16.24022,33.65746,44.60161,79.25576,65.52145,24.53628
2018-05-05 10:21:00,863033069630348610,1.00000,13.52377,14.22370,8.88774,8.41242,10.72635,49.79273,68.77294,41.30586,91.21415,67.72769
2018-05-05 10:22:00,3590433799317662121,1.00000,13.99097,10.54705,9.77153,8.11422,9.11028,60.57373,73.52207,71.37619,60.75559,34.65793
