latitude,longitude,store_name,code,location,imei
-26.93366,29.24152,Standerton,ZA,Africa/Johannesburg,8630330696303481503
51.78967,1.15597,Clacton-on-Sea,GB,Europe/London,359043379931766643
32.65246,51.67462,Isfahan,IR,Asia/Tehran,359043379931766098
38.55632,69.01354,Vahdat,TJ,Asia/Dushanbe,863033069630348214
49.738430,13.373637,Plzeň,CZ,Europe/Prague,863033069630348859
43.1122,12.38878,Perugia,IT,Europe/Rome,3590433799317661222
-36.9256,-73.02841,Chiguayante,CL,America/Santiago,8630330696303482345
46.65581,32.6178,Kherson,UA,Europe/Kyiv,3590433799317661842
-23.85972,35.34722,Maxixe,MZ,Africa/Maputo,3590433799317662055
33.50921,-111.89903,Scottsdale,US,America/Phoenix,863033069630348339
18.57677,-72.22625,Croix-des-Bouquets,HT,America/Port-au-Prince,359043379931766239
41.15376,-87.88754,Bourbonnais,US,America/Chicago,3590433799317661883
35.50056,117.63083,Pingyi,CN,Asia/Shanghai,359043379931766213
38.10558,-1.86343,Caravaca,ES,Europe/Madrid,3590433799317661420
36,139.55722,Okegawa,JP,Asia/Tokyo,359043379931766122
20.28527,-103.42897,Jocotepec,MX,America/Mexico_City,359043379931766619
28.92694,78.23456,Bachhraon,IN,Asia/Kolkata,3590433799317662212
53.6052,10.03988,Barmbek-Nord,DE,Europe/Berlin,3590433799317662287
-22.45667,-47.53028,Santa Gertrudes,BR,America/Sao_Paulo,863033069630348511
39.09112,-94.41551,Independence,US,America/Chicago,3590433799317662386
45.35,126.28333,Shuangcheng,CN,Asia/Shanghai,863033069630348289
52.09,5.23333,Zeist,NL,Europe/Amsterdam,8630330696303482204
47.76232,-122.2054,Bothell,US,America/Los_Angeles,8630330696303481529
11.84962,-86.19903,Jinotepe,NI,America/Managua,359043379931766593
36.61033,-88.31476,Murray,US,America/Chicago,3590433799317661065
25.75728,75.37991,Deoli,IN,Asia/Kolkata,3590433799317661818
32.87533,71.57118,Daud Khel,PK,Asia/Karachi,8630330696303482360
10.98778,-74.95472,Puerto Colombia,CO,America/Bogota,863033069630348602
51.78771,56.36091,Saraktash,RU,Asia/Yekaterinburg,863033069630348545
45.39402,9.29109,San Giuliano Milanese,IT,Europe/Rome,3590433799317662493
25.13915,73.06784,Sheoganj,IN,Asia/Kolkata,8630330696303481628
29.22254,79.5286,Haldwani,IN,Asia/Kolkata,3590433799317662279
53.46506,-1.47217,Chapletown,GB,Europe/London,863033069630348065
55.38752,36.73307,Naro-Fominsk,RU,Europe/Moscow,359043379931766882
-8.66667,-35.71667,Catende,BR,America/Recife,359043379931766999
27.09978,-82.45426,Venice,US,America/New_York,8630330696303481115
-22.53722,-42.98194,Guapimirim,BR,America/Sao_Paulo,3590433799317661727
35.89972,14.51472,Valletta,MT,Europe/Malta,359043379931766635
26.67319,31.4976,Juhaynah,EG,Africa/Cairo,359043379931766114
-28.44917,-52.2,Marau,BR,America/Sao_Paulo,863033069630348545
39.00622,-77.4286,Sterling,US,America/New_York,3590433799317661545
41.75338,-86.11084,Granger,US,America/Indiana/Indianapolis,359043379931766528
35.74788,-95.36969,Muskogee,US,America/Chicago,359043379931766932
20.88953,-156.47432,Kahului,US,Pacific/Honolulu,863033069630348438
30.21121,74.4818,Malaut,IN,Asia/Kolkata,863033069630348982
-11.94306,-76.70944,Chosica,PE,America/Lima,3590433799317661677
-7.0981,109.3243,Randudongkal,ID,Asia/Jakarta,863033069630348511
33.43443,-5.22126,Azrou,MA,Africa/Casablanca,8630330696303482436
51.20219,7.36027,Radevormwald,DE,Europe/Berlin,3590433799317662394
5.6561,-75.87877,Andes,CO,America/Bogota,359043379931766486
2.2139,102.3278,Kampung Ayer Molek,MY,Asia/Kuala_Lumpur,8630330696303481537
38.07789,13.44275,Villabate,IT,Europe/Rome,8630330696303482196
40.98894,28.67582,Yakuplu,TR,Europe/Istanbul,3590433799317661305
54.60528,18.34717,Reda,PL,Europe/Warsaw,3590433799317662048
46.67535,5.55575,Lons-le-Saunier,FR,Europe/Paris,3590433799317661628
41.55815,-73.0515,Waterbury,US,America/New_York,359043379931766155
61.78491,34.34691,Petrozavodsk,RU,Europe/Moscow,863033069630348636
-6.25,38.66667,Mvomero,TZ,Africa/Dar_es_Salaam,8630330696303481883
44.92934,37.99117,Krymsk,RU,Europe/Moscow,863033069630348727
39.96097,-75.60804,West Chester,US,America/New_York,8630330696303481107
50.82709,6.9747,Wesseling,DE,Europe/Berlin,359043379931766049
24.96334,10.18003,Ghat,LY,Africa/Tripoli,359043379931766650
47.80527,-122.24064,Bothell West,US,America/Los_Angeles,3590433799317661958
51.955,5.22778,Culemborg,NL,Europe/Amsterdam,3590433799317662378
28.71271,77.656,Pilkhua,IN,Asia/Kolkata,863033069630348198
50.598427,13.610242,Litvínov,CZ,Europe/Prague,3590433799317661925
48.98333,2.61667,Mitry-Mory,FR,Europe/Paris,3590433799317662477
48.77644,2.29026,Sceaux,FR,Europe/Paris,8630330696303482410
50.86079,17.4674,Brzeg,PL,Europe/Warsaw,3590433799317661693
48.46458,9.22796,Pfullingen,DE,Europe/Berlin,3590433799317661826
10.7375,122.9666,Talisay,PH,Asia/Manila,3590433799317662006
11.50526,77.23826,Sathyamangalam,IN,Asia/Kolkata,863033069630348800
29.84576,-90.10674,Estelle,US,America/Chicago,359043379931766908
37.31309,40.74357,Mardin,TR,Europe/Istanbul,3590433799317661792
37.56667,140.11667,Inawashiro,JP,Asia/Tokyo,863033069630348909
31.82539,72.54064,Sillanwali,PK,Asia/Karachi,359043379931766650
45.44868,-73.81669,Pointe-Claire,CA,America/Toronto,3590433799317661206
51.78771,56.36091,Saraktash,RU,Asia/Yekaterinburg,359043379931766544
34.65918,109.22921,Yanliang,CN,Asia/Shanghai,3590433799317661248
43.61058,1.33467,Colomiers,FR,Europe/Paris,3590433799317661537
43.32686,-2.98884,Leioa,ES,Europe/Madrid,8630330696303481446
53.69786,-2.68758,Leyland,GB,Europe/London,3590433799317661172
50.86079,17.4674,Brzeg,PL,Europe/Warsaw,863033069630348784
30.76468,74.12286,Kanganpur,PK,Asia/Karachi,3590433799317662352
51.65,-0.2,Barnet,GB,Europe/London,3590433799317662337
14.95472,120.89694,Baliuag,PH,Asia/Manila,3590433799317661685
50.88506,4.07601,Denderleeuw,BE,Europe/Brussels,8630330696303481750
50.11861,-5.53715,Penzance,GB,Europe/London,8630330696303481784
-34.88422,150.60036,Nowra,AU,Australia/Sydney,863033069630348495
45.53069,9.40531,Gorgonzola,IT,Europe/Rome,3590433799317661347
20.21322,-100.88023,Salvatierra,MX,America/Mexico_City,8630330696303481768
-37.32167,-59.13316,Tandil,AR,America/Argentina/Buenos_Aires,3590433799317661982
25.49043,85.94001,Teghra,IN,Asia/Kolkata,863033069630348701
43.2907,5.4384,Marseille 11,FR,Europe/Paris,3590433799317662279
39.43534,-84.20299,Lebanon,US,America/New_York,3590433799317661628
36.08497,9.37082,Siliana,TN,Africa/Tunis,3590433799317661529
26.32293,91.00632,Barpeta,IN,Asia/Kolkata,863033069630348529
18.20854,-71.10077,Santa Cruz de Barahona,DO,America/Santo_Domingo,863033069630348073
53.00974,-3.05814,Rhosllanerchrugog,GB,Europe/London,863033069630348479
18.20854,-71.10077,Santa Cruz de Barahona,DO,America/Santo_Domingo,359043379931766833
4.96667,10.7,Tonga,CM,Africa/Douala,8630330696303481800
