ts,imei,mwra,p.system,p.android.chrome,p.android.settings,p.android.gm,p.android.packageinstaller,p.android.externalstorage,p.android.documentsui,p.simulator,p.browser.provider,p.gms.persistent,p.android.gms,p.android.defcontainer,p.google,p.dogalize,p.notifier,p.inputmethod.latin,p.android.vending,p.katana,p.process.gapps,p.olauncher
2018-05-05 10:00:00,8630330696303481974,1.00000,12.85121,11.38645,13.05731,13.55106,10.23794,12.10519,9.17864,35.54770,0.88136,41.90180,58.31198,70.71292,0.25984,11.31530,0.17775,54.59719,94.60129,99.24455,74.88576,29.09337
2018-05-05 10:01:00,3590433799317661792,0.00000,10.22598,7.69926,13.56440,8.94706,14.83699,7.33615,18.14671,52.24609,0.06547,38.97367,54.09968,53.29340,81.84552,52.39020,39.16985,60.84469,2.22255,86.77909,8.52455,73.46647
2018-05-05 10:02:00,863033069630348867,1.00000,12.73879,8.87717,15.28571,13.98190,8.12070,10.62631,9.17414,50.59171,0.78675,27.56809,51.72136,76.65764,69.16433,82.75462,48.02244,27.30062,74.59642,59.23376,21.80619,53.98674
2018-05-05 10:03:00,863033069630348297,1.00000,14.15465,12.10389,11.01156,14.15551,11.88783,7.16991,7.78083,50.51898,3.23104,58.40503,60.26851,64.44781,99.98476,68.07595,45.97134,17.12692,10.41610,42.25331,82.01247,25.80042
2018-05-05 10:04:00,359043379931766619,1.00000,12.92821,10.52921,14.67647,11.60124,9.39958,8.80446,10.22884,65.57544,0.94992,27.50727,45.03890,71.21344,65.34355,32.25713,68.15192,50.38986,11.10077,29.22641,53.28742,2.73911
2018-05-05 10:05:00,359043379931766668,1.00000,13.31171,10.84705,12.05248,11.37594,9.93766,7.62279,11.71878,32.61010,1.39095,37.20435,51.90554,25.40595,1.56668,66.50230,49.60088,30.39287,20.62789,81.20695,87.08958,67.65791
2018-05-05 10:06:00,3590433799317661222,0.00000,6.10766,12.31177,12.72695,11.89896,11.92505,11.84546,12.49128,32.38589,0.00260,45.97980,48.43109,5.91402,20.27201,73.92862,49.77062,98.18389,54.74934,17.98214,15.76709,9.22670
2018-05-05 10:07:00,863033069630348123,0.00000,11.08326,11.39821,14.25652,10.40690,12.70915,13.83394,13.71869,31.97408,0.15179,25.08162,62.21378,8.13721,97.10564,94.52514,69.04506,15.71992,72.51974,51.72051,48.42424,19.17799
2018-05-05 10:08:00,359043379931766247,1.00000,12.67857,10.92308,14.82108,16.43225,10.00484,13.86396,7.19139,46.82910,0.73871,51.29633,59.42043,12.87511,92.01177,16.13403,3.03987,84.13587,61.34825,11.04311,36.87298,8.44619
2018-05-05 10:09:00,3590433799317662162,0.00000,11.12164,10.99369,10.79947,11.51097,15.66065,16.15691,13.78899,42.63645,0.15746,28.94907,57.06968,27.83655,8.48684,25.39323,32.70392,91.16490,68.54346,52.90701,94.29841,58.23194
